displacement (mm),userSpeed (Gamma/kA),userSpeed (m/s),longSpeed (Gamma/kA),longSpeed (m/s),forceProjOnVelAve (1e-3\hbar*k*\Gamma),forceProjOnVelStd (1e-3\hbar*k*\Gamma),accelProjOnVelAve (mm/ms^2),accelProjOnVelStd (mm/ms^2),forceProjOnPosAve (1e-3\hbar*k*\Gamma),forceProjOnPosStd (1e-3\hbar*k*\Gamma),accelProjOnPosAve (mm/ms^2),accelProjOnPosStd (mm/ms^2),forceProjOnLongAve (1e-3\hbar*k*\Gamma),forceProjOnLongStd (1e-3\hbar*k*\Gamma),accelProjOnLongAve (mm/ms^2),accelProjOnLongStd (mm/ms^2),PF1Down,PF0,PF1Up,PF2,PExc
3.0,-0.05,-0.21978450000000002,32.0,140.66208,2.2111002008473326,0.09227051772065369,0.5151623005568177,0.02149802716508487,-2.2177435528403993,0.09698827864694488,-0.5167101293231692,0.02259721415413849,0.0,0.0,0.0,0.0,0.25764601860046865,0.05069175156451265,0.14798932570543302,0.4503342946876234,0.09333860944197345
3.0,0.05,0.21978450000000002,32.0,140.66208,2.6875419237365086,0.5017343155456429,0.6261680405729341,0.11689863904211201,2.6812201814465646,0.5101151057441368,0.6246951433698282,0.11885127201527425,0.0,0.0,0.0,0.0,0.262317063095145,0.052810256375288765,0.1574536752976518,0.4306904616528969,0.09672854357902912
3.0,0.1,0.43956900000000004,32.0,140.66208,3.717923352692286,0.514360049568414,0.8662357078765065,0.11984029776155705,3.630965098814277,0.5102092206008851,0.845975380414625,0.11887319975337515,0.0,0.0,0.0,0.0,0.25841352905899984,0.05451668421844467,0.16521103210856541,0.42032267117536215,0.10153608343863714
3.0,0.25,1.0989225,32.0,140.66208,4.256761597638645,0.4549907530353287,0.9917791589549277,0.1060078973245694,4.261055793291562,0.45084844751098474,0.9927796598416582,0.10504278518595511,0.0,0.0,0.0,0.0,0.25754399844361964,0.05635191118032403,0.1749890029986263,0.40084878433898635,0.11026630303845342
3.0,0.5,2.197845,32.0,140.66208,-0.7547386149699437,0.5571770253479965,-0.1758458893260389,0.12981618747340384,-0.7259826420842039,0.5846987895993521,-0.1691460603717065,0.1362284592382372,0.0,0.0,0.0,0.0,0.25007139993966815,0.059289710240640135,0.20634935654746633,0.3572418553304345,0.12704767794179955
3.0,0.75,3.2967675,32.0,140.66208,-10.719255270061797,1.2509119775257884,-2.4974699034736827,0.2914488867982144,-10.679137178523476,1.2474077810766544,-2.4881228244390416,0.29063244713453606,0.0,0.0,0.0,0.0,0.2535423166560289,0.06104464815684689,0.22849826900557058,0.31917867239064596,0.13773609379091734
3.0,1.0,4.39569,32.0,140.66208,-17.26173548813691,1.3830697840945365,-4.021796643256635,0.3222402184811516,-17.203403638334237,1.3762406028292045,-4.008205956625353,0.32064909351529985,0.0,0.0,0.0,0.0,0.2590684131056161,0.06059024810569306,0.23414485305814767,0.30395785321581154,0.14223863251474161
3.0,2.0,8.79138,32.0,140.66208,-33.91941620556631,2.1404052938213165,-7.902855094177729,0.4986911560436852,-33.89760819326026,2.138676512849707,-7.897774064477741,0.49828836887820444,0.0,0.0,0.0,0.0,0.2765269969662373,0.06817970674266881,0.21352185260099313,0.2755622078036949,0.16620923588641767
3.0,3.0,13.18707,32.0,140.66208,-38.3385966854148,1.3678289072603744,-8.932476086343575,0.3186892599269525,-38.34642962948995,1.3682712638959251,-8.934301077127955,0.31879232421230225,0.0,0.0,0.0,0.0,0.2770369071515977,0.06804722098668156,0.2111872057138741,0.2699893090970503,0.17373935705080878
3.0,4.0,17.58276,32.0,140.66208,-20.87244004364164,1.3515047135054823,-4.863051537418363,0.3148859003115526,-20.885462227761224,1.3479043700353222,-4.866085564698876,0.31404705943759686,0.0,0.0,0.0,0.0,0.28672100402127465,0.05321109822079313,0.2290068988470016,0.2800050239310841,0.1510559749798569
